concept_id,preferred_en,locale,source_course_ids,status,derivation
math.algebra.ring,ring,en,O013|O014,active,curated_override
math.algebra.module,module,en,O013|O014,active,curated_override
math.algebra.field,field,en,O013|O014,active,curated_override
math.algebra.abelian_group,abelian group,en,O013|O014,active,curated_override
math.category.category,category,en,O013|O014,active,curated_override
math.category.functor,functor,en,O013|O014,active,curated_override
math.category.natural_transformation,natural transformation,en,O013|O014,active,curated_override
math.category.monoidal_category,monoidal category,en,O013|O014,active,curated_override
math.category.limit,limit,en,O013|O014,active,curated_override
math.category.representability,representability,en,O013|O014,active,curated_override
math.category.enrichment,category enrichment,en,O013|O014,active,curated_override
math.algebra.tensor_product,tensor product,en,O013|O014,active,curated_override
math.analysis.completion,completion,en,O013|O014,active,curated_override
math.algebra.submodule,submodule,en,O013|O014,active,curated_override
math.algebra.quotient_module,quotient module,en,O013|O014,active,curated_override
math.algebra.module_homomorphism,module homomorphism,en,O013|O014,active,curated_override
math.category.morphism,morphism,en,O013|O014,active,curated_override
math.category.kernel,kernel,en,O013|O014,active,curated_override
math.category.cokernel,cokernel,en,O013|O014,active,curated_override
math.category.image,image,en,O013|O014,active,curated_override
math.algebra.vector_space,vector space,en,O013|O014,active,curated_override
math.homological.cochain_complex,cochain complex,en,O014,active,curated_override
math.homological.chain_complex,chain complex,en,O014,active,curated_override
math.homological.differential,differential,en,O014,active,curated_override
math.homological.cohomology,cohomology,en,O013|O014,active,curated_override
math.homological.homology,homology,en,O013|O014,active,curated_override
math.homological.exact_sequence,exact sequence,en,O013|O014,active,curated_override
math.homological.acyclic_complex,acyclic complex,en,O014,active,curated_override
math.homological.abelian_category,abelian category,en,O014,active,curated_override
math.homological.homological_algebra,homological algebra,en,O014,active,curated_override
math.topology.genus,genus,en,O014,active,curated_override
math.topology.betti_number,Betti number,en,O014,active,curated_override
math.algebra.torsion,torsion,en,O014,active,curated_override
math.topology.topological_invariant,topological invariant,en,O014,active,curated_override
math.homological.universal_coefficient_theorem,universal coefficient theorem,en,O014,active,curated_override
math.homological.cup_product,cup product,en,O014,active,curated_override
math.homotopy.aspherical_space,aspherical space,en,O014,active,curated_override
math.homotopy.homotopy_group,homotopy group,en,O014,active,curated_override
math.homological.group_cohomology,group cohomology,en,O014,active,curated_override
math.algebra.syzygy,syzygy,en,O014,active,curated_override
math.homological.free_resolution,free resolution,en,O014,active,curated_override
math.homological.group_extension,group extension,en,O014,active,curated_override
math.algebra.derivation,derivation,en,O014,active,curated_override
math.algebra.inner_derivation,inner derivation,en,O014,active,curated_override
math.homological.hochschild_homology,Hochschild homology,en,O014,active,curated_override
math.homological.hochschild_cohomology,Hochschild cohomology,en,O014,active,curated_override
math.algebra.bimodule,bimodule,en,O014,active,curated_override
math.geometry.sheaf,sheaf,en,O014,active,curated_override
math.homological.spectral_sequence,spectral sequence,en,O014,active,curated_override
math.homological.sheaf_cohomology,sheaf cohomology,en,O014,active,curated_override
math.homological.injective_module,injective module,en,O014,active,curated_override
math.homological.projective_module,projective module,en,O014,active,curated_override
math.homological.injective_resolution,injective resolution,en,O014,active,curated_override
math.homological.projective_resolution,projective resolution,en,O014,active,curated_override
math.homological.derived_functor,derived functor,en,O014,active,curated_override
math.category.additive_category,additive category,en,O014,active,curated_override
math.category.strict_morphism,strict morphism,en,O014,active,curated_override
math.homological.delta_functor,δ-functor,en,O014,active,curated_override
math.category.grothendieck_category,Grothendieck category,en,O014,active,curated_override
math.homological.derived_category,derived category,en,O014,active,curated_override
math.homological.quasi_isomorphism,quasi-isomorphism,en,O014,active,curated_override
math.category.localization,categorical localization,en,O014,active,curated_override
math.homological.distinguished_triangle,distinguished triangle,en,O014,active,curated_override
math.homological.shift,shift,en,O014,active,curated_override
math.homological.triangulated_category,triangulated category,en,O014,active,curated_override
math.homotopy.cofiber_sequence,cofiber sequence,en,O014,active,curated_override
math.homological.octahedral_axiom,octahedral axiom,en,O014,active,curated_override
math.homological.derived_equivalence,derived equivalence,en,O014,active,curated_override
math.simplicial.simplicial_set,simplicial set,en,O014,active,curated_override
math.simplicial.simplicial_object,simplicial object,en,O014,active,curated_override
math.simplicial.nerve,nerve,en,O014,active,curated_override
math.simplicial.dold_kan_correspondence,Dold–Kan correspondence,en,O014,active,curated_override
math.category.adjoint_equivalence,adjoint equivalence,en,O014,active,curated_override
math.homological.bar_construction,bar construction,en,O014,active,curated_override
math.homotopy.homotopical_algebra,homotopical algebra,en,O014,active,curated_override
math.ktheory.higher_k_theory,higher K-theory,en,O014,active,curated_override
math.category.infinity_category,∞-category,en,O014,active,curated_override
