physical_page,render_filename,render_bytes,render_sha256,width_px,height_px,text_chars,ink_ratio,dark_ratio,blank_candidate,image_only_candidate,physical_edge_candidate,body_near_edge_candidate
53,page-053.png,149892,02a8eb23ea65baa8fcf92131839e4cb2468373a3ab266e817d8feb5586d422c5,763,1083,1362,0.056459352,0.046724731,false,false,false,false
54,page-054.png,160128,ebdf0f1123abb45be1fa6b59ed5b3ccad40666f062c0779f50a20c093ff8b068,763,1083,1461,0.0676486,0.056477505,false,false,false,false
55,page-055.png,191366,b75972411f95cef0d57c9cc61600fb216c1b75842aaf6a2527b74866d9c8c60b,763,1083,1889,0.077565957,0.063909169,false,false,false,false
56,page-056.png,144551,bddf5f089b8fcb01ed85b438c44b140b3e2838cfe320e481bede10d417750cf8,763,1083,1375,0.058544478,0.048386296,false,false,false,false
57,page-057.png,178845,efbddebae36150200ff6e1866f00402c9a72970e29fd67f24cda15452272288f,763,1083,1858,0.074989502,0.061736911,false,false,false,false
58,page-058.png,188302,312d7a13f9b17e8373cf94143b5293eda487ef8767684121e0be393f6934c8d3,763,1083,1846,0.075633313,0.062271807,false,false,false,false
59,page-059.png,179854,a83cb45447f1d26a449cefb34628f88359ad736c5555f3cf134f82b405bc2d14,763,1083,1741,0.069800285,0.057299211,false,false,false,false
60,page-060.png,137789,212517a9c0800bfaef1fcf722fd3a04b8998c9e8902c30ad7e1aec63224bdc43,763,1083,1348,0.052250375,0.0426997,false,false,false,false
61,page-061.png,152814,4f1d5af045f21bb777992f591dacc4128a02473afcb87149529d987336a1ebf8,763,1083,1415,0.062886574,0.052193497,false,false,false,false
62,page-062.png,186343,b09d1709e7ea3062b178e51e2d81791036d3549e8ec61e7f4e6977344cdfedd6,763,1083,1839,0.074434033,0.060969662,false,false,false,false
63,page-063.png,178189,b2a2d3a8c83234a04e499398fbd5cafeefde1c8c8a2350ef75850f7b478aae41,763,1083,1810,0.07250744,0.059160455,false,false,false,false
64,page-064.png,161543,ae37a4146fb309e17a98aca3fd8486da9de437f00a7246b25c1b726a143ce2f6,763,1083,1702,0.06546303,0.053563411,false,false,false,false
65,page-065.png,164037,5853ad3341a0b588134149a717794c9586659bed7c0dc18d4655e958f044e4cd,763,1083,1613,0.063795413,0.052318144,false,false,false,false
66,page-066.png,169252,51790f9906593e955cac83d86b3c307f417c73e867a3657a643afaed2a895ccb,763,1083,1649,0.068939853,0.057041445,false,false,false,false
67,page-067.png,125340,d27687b8ed1331b8d34574a12074236e1de1f88567c0ac28af19996e2b7d2d16,763,1083,1091,0.047423,0.038961479,false,false,false,false
68,page-068.png,175735,f01e22d72e4fb303c035da7a7d9bcbc562203237fc71f0be5b1302fdb0b9c553,763,1083,1765,0.072216998,0.059729236,false,false,false,false
69,page-069.png,180774,3c902824f565c34b0285543e4b06274d95809715d5476ba568f9e6e50b9879b8,763,1083,1840,0.074437663,0.06081355,false,false,false,false
70,page-070.png,135251,cb1de5394d2ef79739f73eddf8768fe613878f77da1dbb7810a77b39217096df,763,1083,1271,0.055353255,0.045723919,false,false,false,false
71,page-071.png,93780,af9f7b85491409fb271a4a8026b4db4ffb1260e5c18fa762b58bbb904e6ffd29,763,1083,697,0.033882388,0.027950126,false,false,false,false
72,page-072.png,123574,89e2f8a37ae41cd9109a3e557f77bb0c27ad3acdd7a3c8b5a3ce3fc8ca3d5dcc,763,1083,1020,0.052958325,0.044124072,false,false,false,false
73,page-073.png,148875,2d1aa6ca013018e837229c2bf37fee5072c176280da6430dfaf44601998302ba,763,1083,1438,0.059273001,0.048698521,false,false,false,false
74,page-074.png,152647,4eaa9ed04084e4043556f55b0a119689c1fb172b14e844615880afb43feb6d4f,763,1083,1366,0.056339545,0.046220089,false,false,false,false
75,page-075.png,183319,257f789e52240808fb4bfa2ea433947284362100ab4466389a55ee221db2d3e2,763,1083,1713,0.073194817,0.060272603,false,false,false,false
76,page-076.png,181469,1d0ba63a05f5c739f7f9665d7dd82a2c69faa9918c0fe740705f56c0a3160225,763,1083,1827,0.076744251,0.06377484,false,false,false,false
77,page-077.png,184375,d3148cc48714a150238c00baec86128477b5593cdff6d7b7b1b4d0a216e9caf3,763,1083,1894,0.074590145,0.061664301,false,false,false,false
78,page-078.png,157587,1ac3067d6a7bf85ac44a22e36d04f1a4cae45905281058d39941b354a80dd2a1,763,1083,1435,0.061354497,0.050749762,false,false,false,false
79,page-079.png,147013,af17c440d05fd58318a4cf667a37cd26fd0b61020516aaab8405e8c9f9976ef7,763,1083,1311,0.056120504,0.046307221,false,false,false,false
80,page-080.png,130521,5755b3dafecc673c65df9501dddffdf9d766bb1275e465d8f73efbd3d62fc4cc,763,1083,1136,0.04686148,0.038539129,false,false,false,false
81,page-081.png,116672,14b38acfe8899a41fdbd75dd6c5839406c6dc9d5113bc8dc3a80ab996849aa8e,763,1083,1026,0.044079295,0.036355979,false,false,false,false
82,page-082.png,139944,cdda56941bb734d12ee0d1ad025c74c486108eaa8ae97af431288875cb06d75b,763,1083,1300,0.05411767,0.044571835,false,false,false,false
83,page-083.png,151463,f939204733db2502608c255b49250b6411859125dc84ffd83e830624ee21ca0b,763,1083,1396,0.059623951,0.049130552,false,false,false,false
84,page-084.png,173884,23a947f074bd75b1270f4d9a821dbaa620a4ce91683c44bc26fa355154254e7d,763,1083,1672,0.069790604,0.057825636,false,false,false,false
85,page-085.png,154843,8e3f140ceb545f1a8aa236308278a9e8c228b34140ae4a163a4098e988c331f7,763,1083,1517,0.06095393,0.050036971,false,false,false,false
86,page-086.png,194674,d4293e494d84929d7663d7e818ac25d98ecb25860672cec7b31325511d56212c,763,1083,1958,0.08096896,0.067444081,false,false,false,false
87,page-087.png,182546,6e182bd7abf9c44601494c75040bb6ce1a0b258bb7d9e32f780481ab29fe07fb,763,1083,1828,0.077929009,0.065003165,false,false,false,false
88,page-088.png,145910,39443d0fac2505702d2c57f3ae3066f998ac220cda4c90176ec14979de81fb5e,763,1083,1261,0.05482441,0.045109151,false,false,false,false
89,page-089.png,136687,46b834d8da9ba5d9f5f8d017f2df38a055affeb4068bad7152e0ebd6e8e9216c,763,1083,1218,0.050695304,0.041790861,false,false,false,false
90,page-090.png,170512,9a6f86e88a3c60a5c093329ab0a291f7e5051e48598830c8107d46234fe614c3,763,1083,1640,0.067479176,0.055502106,false,false,false,false
91,page-091.png,162647,b56a9001ea4e8f3d100cb1401add156d3ff50c32e9fa818bd99c47ea1b843aab,763,1083,1625,0.070347283,0.058608617,false,false,false,false
92,page-092.png,165301,acf28792f3ae1f9f919e14cdc6187e8c6d07a0c4d8b7b6325754854ee0e5cd83,763,1083,1527,0.062387983,0.051314912,false,false,false,false
93,page-093.png,143668,4b4c523d61a83c2576c1914ba0caa6d9f6a6f1dbc86084e51fd7c6dc1abd2d1a,763,1083,1350,0.05503619,0.045349976,false,false,false,false
94,page-094.png,193491,45dc0928de48afa12a56a15e7d405f1849a2e66b999dd8311dee8b2badd54c1e,763,1083,1874,0.077547805,0.064162095,false,false,false,false
95,page-095.png,210071,cc9accbcc4f2f45a600cf611496b711f44d6773201445e4c18e41b7c77050ded,763,1083,2118,0.087975855,0.07300482,false,false,false,false
96,page-096.png,190357,dc3eb13327a3d092bb84812eb0bbb295ea19de51358e015432bf05295ab4baf1,763,1083,1837,0.076481644,0.063149182,false,false,false,false
97,page-097.png,178896,e785aa5150d78109bb14e9c3841d313fd6fc282ea6491c587789d48d1697d601,763,1083,1717,0.070989884,0.058588044,false,false,false,false
98,page-098.png,177768,ee0989f91f9d3eb935af273f21e2024c2eadc12bd826b6adae2bcbdeb0469708,763,1083,1766,0.073816845,0.061231059,false,false,false,false
99,page-099.png,172918,e6fe94da869634791ebb5ac54eb11f64b57f8845516855c6c6e060f10e259e93,763,1083,1894,0.068573171,0.057222971,false,false,false,false
100,page-100.png,153154,35e830ea32b28249816f0baf2dfe6368e6bbec86a80b6749ca84c0f09feb09cf,763,1083,1538,0.057002719,0.047162813,false,false,false,false
101,page-101.png,116393,8ad6e3317972e5ee2985bdabc3c0801063d0d4cde8a349587550383b9e512f98,763,1083,1162,0.042257987,0.035104662,false,false,false,false
102,page-102.png,127875,b7ce1b1cbfe0516ef8ea412f924550a24a241f0599193a4028aaa5b9a3d7aaac,763,1083,1294,0.047341918,0.039186571,false,false,false,false
103,page-103.png,109781,ef18467a1a986a6aa1fb43afeeb702c8ac605bce677ce100817d383511558e76,763,1083,1075,0.12655976,0.075127461,false,false,false,false
104,page-104.png,225881,ad0006c0ba4d25dd943f13ff3cda0f6872243e6d4220c2e42129db519a81981a,763,1083,2585,0.105483409,0.086523649,false,false,false,false
105,page-105.png,185693,26356d913c0c0dcb2fc7c009db3f1e1ae47c2ce5ed51b02faa8c79e15b5dd6d2,763,1083,1869,0.082928228,0.069515895,false,false,false,false
106,page-106.png,166142,5ec1b1519e3fefd64fdc57c0a3271afdaddc9b12e86f209c0337b9cc3a57726b,763,1083,1660,0.067044724,0.055264913,false,false,false,false
107,page-107.png,123572,7955b66659e9b692c5be79fa9387cd71bfeffb2cfc14d0f6b9b33c5ae2100390,763,1083,1201,0.049170488,0.040708967,false,false,false,false
108,page-108.png,141617,64f5ff84f9471e829c2ee7037138f0195b0dc88ac66dd04e53e5f1dbc56674f3,763,1083,1298,0.057301632,0.047753377,false,false,false,false
109,page-109.png,132358,c5b82ee4fe4fc3c8c0f99c74dd2ad9f43a8bb165b0871db51adf61c6cc987e8f,763,1083,1278,0.05426289,0.044845334,false,false,false,false
110,page-110.png,137854,8b7f4469371a17b0dd75d57fc97bd9c6df64b1137e21db78917b23befcadc1bf,763,1083,1355,0.056925268,0.047178545,false,false,false,false
111,page-111.png,164129,f996ba672ce767756413a087d0276cbf29824130532d9accca73c9a9a469ae2b,763,1083,1637,0.068715971,0.056752214,false,false,false,false
112,page-112.png,176093,2b4b4300c6af7bd7ffeadd4daa4ec9a1e2e873fcd4f2f22b9db977605dbdcdc8,763,1083,1753,0.07046588,0.057863151,false,false,false,false
113,page-113.png,151585,475ebcb409e36fd66d1330839ee596735b3b8ff9153acc23164ad6e3cc88108f,763,1083,1407,0.062254865,0.051674333,false,false,false,false
114,page-114.png,135503,67175c15d0b902a01c12c1883def2ff5c0e5f4ba0aef2d64f0bfb54440b1ab45,763,1083,1317,0.055855476,0.045769905,false,false,false,false
115,page-115.png,151285,8cae6e5b73ce3570b107589b0c64e94bab9905214c5134cd61aeb0cdef9baac7,763,1083,1449,0.059377076,0.049019216,false,false,false,false
116,page-116.png,132553,07b7372608dca311f9545bc0a10016f712641e6bb74fee94b8d353bb965ee066,763,1083,1342,0.054973261,0.045429847,false,false,false,false
117,page-117.png,157072,3ca13c93381a49c70487d91246159e34127e9f3a0f039827d1c36fcf69cce1b2,763,1083,1554,0.064991063,0.053430292,false,false,false,false
118,page-118.png,112974,0af71129d07ddf2c77dccf8533435318e2fd3deb1021e8a5bbd2cec23ed7edba,763,1083,989,0.041402395,0.033970731,false,false,false,false
119,page-119.png,109180,4ca51ee1468779cdb5cbb9b0c397e2ab7bd7f6669eebe9c95af72377e6742d9a,763,1083,916,0.04178965,0.034869888,false,false,false,false
120,page-120.png,122091,9b0a0b06adcb5c281b1c33210672ab96d076f8dca309cfcdf7e820167af13fb8,763,1083,1130,0.047992991,0.039558094,false,false,false,false
121,page-121.png,179150,c866646f9d9bb0541ad1708ae4d01aeb3dd8f9d54d19ac7a2d4d202214a6be27,763,1083,1785,0.076986285,0.064007193,false,false,false,false
122,page-122.png,164735,b22a020e0a4284aa612865935e00516faecddb8803583a3865fb0f20103ec3f8,763,1083,1584,0.064779283,0.053331058,false,false,false,false
123,page-123.png,141275,c0afa192c3eb14ffa0ff846ae08691e6730db708fe01a200b48b91922a40aa5c,763,1083,1366,0.056293559,0.046448812,false,false,false,false
124,page-124.png,127901,4a203050ca644158fedfc18dccee32ed9448c0f21d77cdacfa5b1cfa961751f8,763,1083,1278,0.051900635,0.042454035,false,false,false,false
125,page-125.png,148641,99ba63fa2df530959ab79e1460ceadbc214dde174dba124a82ae25a2fe7b6acb,763,1083,1585,0.061130615,0.049846974,false,false,false,false
126,page-126.png,188311,c695dc0c26b3cc485aa45a23d0c1dfa8d7933703ebf49c791d1d5e697f0eedd3,763,1083,2029,0.081713216,0.067758726,false,false,false,false
127,page-127.png,155568,7f587be0defd8e41b6ad445eebd2cc98ebd36c4afea730cb3047cdf10e27888a,763,1083,1531,0.065177429,0.054053531,false,false,false,false
128,page-128.png,158796,297c331b88fcd90d781a6166f0d5a5839ba6e78dcfcf5d32d4146503ad104d84,763,1083,1523,0.061020489,0.050396392,false,false,false,false
129,page-129.png,152316,50ea39f25ab168181437ef6c6dded0e6172519cd672786997133ff76bbba8757,763,1083,1470,0.059086635,0.048596866,false,false,false,false
130,page-130.png,181548,ca9911626240021bf14ca0a4e873e8a7de3c6e0434db37fd08fcf42c976d413d,763,1083,1796,0.07532835,0.06257193,false,false,false,false
131,page-131.png,192177,fbdef59b82ec996e9696d40569b0a031315c58f942cb23f8d46bf3d2491e17f2,763,1083,1830,0.075574015,0.062343207,false,false,false,false
132,page-132.png,162918,cc8334730ec0e7332730cade8c12c1e286f80aeb42c53b7c2f545398b6da898b,763,1083,1580,0.064680049,0.053504113,false,false,false,false
133,page-133.png,158730,40adba47ea8ffd56ab03f507010945e8a24ba6786216d89cc4a620919774009b,763,1083,1504,0.065576786,0.054968421,false,false,false,false
134,page-134.png,169733,a74fbad7cb2e5ac4ca69aef743be9390b8214ae965f4ba92ab5a51049204039f,763,1083,1620,0.067699427,0.055799809,false,false,false,false
135,page-135.png,124816,f79e3b3d4a416de7cf77d9486ac97728ab707a02f2cdec2b318644b07f45463e,763,1083,1183,0.047156762,0.038234166,false,false,false,false
136,page-136.png,133848,67181189f0b5540ca2a650aa93ea8c7cf2d949d18225e65281b8c67c072693d4,763,1083,1215,0.052372602,0.043223704,false,false,false,false
137,page-137.png,104629,e1c171c0fe18a94b89b2ce143972c45320db02d7799b4e337b0384835dc6fe1a,763,1083,879,0.039232557,0.032522155,false,false,false,false
138,page-138.png,135210,fe98e4efe4594c57b4cae573eb901fc61f1aad82e0cf23aa8fd9c32f48749f90,763,1083,1233,0.053299594,0.044268082,false,false,false,false
139,page-139.png,146934,78b8f30e2c668773f61764d434056cdacea44afd5305b0a6ccc1ac9ca3a84838,763,1083,1383,0.058175376,0.048071652,false,false,false,false
140,page-140.png,175632,cd326b632766677e3fb6bcaae1855e33da7fc616f36e32f431e8af55d22c7351,763,1083,1713,0.076359416,0.064048339,false,false,false,false
141,page-141.png,157986,386fcaa04cb08a87e14e37ac5ac9692f3afe0e3aa93c2e4b8ff4e8242d239003,763,1083,1565,0.063502552,0.052333877,false,false,false,false
142,page-142.png,184051,0781ef31784c4040373845e720994632cd38c9a70ba99d7e45fbc7282afe109f,763,1083,1881,0.076499796,0.063258097,false,false,false,false
143,page-143.png,159982,d45d9ab144c0abf7e1f028840fbba9b388909b9524247a659a62afeca7111787,763,1083,1500,0.067261345,0.056147128,false,false,false,false
144,page-144.png,140836,905d69e98386209b66c2f560ba440353f8fe45c5f165eba1ec112346443b0847,763,1083,1355,0.055028929,0.045553284,false,false,false,false
145,page-145.png,175559,7fa4e70ea80f820c4f13e9039e3ef85148588d8d80a110819770eb8e2dc19e2a,763,1083,1662,0.069304115,0.057108004,false,false,false,false
146,page-146.png,170387,dc2b203af29daa4aef3cae5feae1e6b970b46a957cf571b6eadbfa4d46f44b77,763,1083,1608,0.067382362,0.055512998,false,false,false,false
147,page-147.png,152946,8bb84dc80666a370c6324d2a638a12bdc307758d6775919036bb9f78d37a2363,763,1083,1435,0.059574334,0.049502075,false,false,false,false
148,page-148.png,193993,6b4ab78dac4430caeb13e6152f5edee6b6cd2287fe0782943c44a73c4e85b6cb,763,1083,1949,0.08125093,0.067814394,false,false,false,false
149,page-149.png,128200,2f8b61a68ab8d71c02f5aa63ae867fb4ac35a7b4b537be3c6220e0ad243dd4a9,763,1083,1170,0.048795335,0.040574638,false,false,false,false
150,page-150.png,174188,9b61a8eea0fa7dd3c1bdffbbe1bd19098580c66bbe492c02be2e70f341cee7bc,763,1083,1714,0.072223049,0.060385149,false,false,false,false
151,page-151.png,165164,aebdf5896e7b61986c4755410742922aa2c0926014923e7e984284b286d2ae9f,763,1083,1598,0.066699825,0.055004726,false,false,false,false
152,page-152.png,141898,9ac84b69ee3dab7c2538e1ceca7806d296ccee504ae22b6af4e58c97c6dcaefb,763,1083,1431,0.056322603,0.04629996,false,false,false,false
153,page-153.png,174619,e335708db86c98162efa68fe28a315a2b469d5551fb5b7e641234f0fd8e3d0b7,763,1083,1669,0.073728503,0.061540863,false,false,false,false
154,page-154.png,175701,18482436d167a8ca9088d2e0a2f02f37f6a9cb033d426d78c176c03ee89586c1,763,1083,1678,0.070712755,0.05820563,false,false,false,false
155,page-155.png,209787,5cbcfe297c2b4e96c40700c9e61876d7e129d88b20ff4005586b52462ceec3d7,763,1083,2069,0.085079914,0.070158496,false,false,false,false
156,page-156.png,182168,dd14c3b6bd9ef593723494030261d8c9144034bab9036a6220c7599aad084a5b,763,1083,1769,0.072256934,0.059431534,false,false,false,false
157,page-157.png,164444,16a06465f2cabd5c4f60b6c70c054932a1ad26b16a75e3ab92acf23bb9e8d219,763,1083,1598,0.066611483,0.055309689,false,false,false,false
158,page-158.png,163933,89f5ba639bbed65319800d1a8a9f62f952a5e75deb7d1e096fd267a0628ac04d,763,1083,1500,0.061499717,0.050442378,false,false,false,false
159,page-159.png,163534,6df20ed25c7992d5638a06fac40a6e980baa174579cdf228a3c642236245504e,763,1083,1637,0.07025531,0.058537217,false,false,false,false
160,page-160.png,178473,cda9ce9d8ff0d28b30906356a9eef6e649a3d13a6242412294a24bfa5299b884,763,1083,1663,0.070515497,0.058102765,false,false,false,false
161,page-161.png,153217,dadb4887c0a9158ddcc82111883c6288644c275e49b64bbaf238dfd1b938a193,763,1083,1437,0.060083816,0.049802197,false,false,false,false
162,page-162.png,161295,29b4550e84fde49b7f6f2918f8c1cb3b8a2038ac8841b37b3ec34e33bd5f558f,763,1083,1590,0.065223416,0.053953086,false,false,false,false
163,page-163.png,161029,8514d8ce61d375620119549fa53dc55d055ccb38081066f9019f8c9345519186,763,1083,1530,0.063939424,0.052833678,false,false,false,false
164,page-164.png,159895,46376cf465ad33e36b97e234d3d21aebfc4e8cc4b7d4eaf9dee4948591488a53,763,1083,1508,0.062902306,0.051630767,false,false,false,false
165,page-165.png,167647,2d61cc0c5b711471d93acf1c6d171f028c3c9e8182390d0f109a2a5ff4c617f2,763,1083,1543,0.064325468,0.052699349,false,false,false,false
166,page-166.png,144332,3e92a95710e3c66c7861092cc61829de470d6ea654dd19004f5b0f94443ceed8,763,1083,1467,0.05616407,0.046676324,false,false,false,false
167,page-167.png,163292,d62bd9cd85e0f02dd3929568f70b8bb5814ad25eabbc71a6bb7809487d21b2dd,763,1083,1750,0.063265358,0.052235853,false,false,false,false
168,page-168.png,149335,8889be855b39220e98fdec8f85964c5f4d151efd21cf3f0de097500764467f45,763,1083,1556,0.055625544,0.046033723,false,false,false,false
169,page-169.png,173956,0b0b40217819c10827af2f9099b77abacd38e5ebd7c2e169ae87cc2828664601,763,1083,1860,0.067358159,0.055719937,false,false,false,false
