physical_page,render_filename,render_bytes,render_sha256,width_px,height_px,text_chars,ink_ratio,dark_ratio,blank_candidate,image_only_candidate,physical_edge_candidate,body_near_edge_candidate
1,page-001.png,56531,6b394064b68547e1b3ee58032cd6b7afaa1e269e3b3e6af31f52000b641c4813,763,1083,106,0.072204897,0.045533922,false,false,false,false
2,page-002.png,59612,692ce16e63fc4ba860b4be12696ade3ac50fd00c44b43dfa5fcaf1f019328586,763,1083,367,0.030432189,0.027608858,false,false,false,false
3,page-003.png,65875,9732baca585a27d49694e90156ae8049e93d2b5bcf8a5329817472260db9f20a,763,1083,938,0.059297205,0.022730656,false,false,false,false
4,page-004.png,125601,0287de03ffe1486e181251ee546eb9a99926544334c4fef938e2eb7515ba0412,763,1083,1797,0.050024869,0.040970364,false,false,false,false
5,page-005.png,128307,3aca0f12d5cc41b63fdfd281daf6a506bd527543c91d7672f1714f1666584458,763,1083,1756,0.051533953,0.041911878,false,false,false,false
6,page-006.png,123486,35137c684acf282df4395da76b91ac560e5bb3cbbc982de86c718717c3da84e4,763,1083,1778,0.047720702,0.038914282,false,false,false,false
7,page-007.png,97741,c6847befba8992b07e7ae5f56f5e8660ef69b30fe09f5da5e3e97e4ee03ebd45,763,1083,1303,0.038781163,0.031963056,false,false,false,false
8,page-008.png,4006,1ae1c0b5c9050f49e9aae499e232840fd226372dff1fa18e92c768791eecb7be,763,1083,0,0.0,0.0,true,false,false,false
9,page-009.png,101044,8f8bf61db4a4252d47a06cb596896af2a2a661049187b1a6d03a56ab6e899e80,763,1083,1045,0.04664849,0.039032879,false,false,false,true
10,page-010.png,4006,1ae1c0b5c9050f49e9aae499e232840fd226372dff1fa18e92c768791eecb7be,763,1083,0,0.0,0.0,true,false,false,false
11,page-011.png,93157,ba34f75ad6e866c87e92a81f27e7c1d4409d08329732698732114d50c1c34861,763,1083,1020,0.076084707,0.037543158,false,false,false,false
12,page-012.png,192558,0a512d58a050502aa861dd9e9faece070f700ad90dc804017afdfaf56466ee53,763,1083,2093,0.087013768,0.07180433,false,false,false,false
13,page-013.png,198618,b97d02935951538c5fd8e252d6d297e940fd867a2b2fd39ea28c77f0999bacb1,763,1083,2104,0.090041618,0.074798295,false,false,false,false
14,page-014.png,197297,5195719df8f0fa902b2a38f71ec3670b50d7e0658659f99d6bd87ec0a41c6b36,763,1083,2193,0.088467184,0.072975776,false,false,false,false
15,page-015.png,192134,0e2afc07abea02f3b2d424ef929bf14fd94764de3f7920c464cc91105801b92a,763,1083,2069,0.085980281,0.07110243,false,false,false,false
16,page-016.png,203816,09e86cd60f1c75ac6e377e78fe21aa3b8df8af9dd08f37e53f9ab65b1a1a1273,763,1083,2234,0.091931906,0.076048402,false,false,false,false
17,page-017.png,193693,b845d47b6b3c7f09fd125ba5d551947ad0b89ac71a1dd37c728bcad561143dff,763,1083,2208,0.092344575,0.076798709,false,false,false,false
18,page-018.png,220802,8908fe43e69444208270e981f6de7feb98e2c8760f896a2667bfba2c130c8763,763,1083,2535,0.103826684,0.085586976,false,false,false,false
19,page-019.png,178792,66cb5ac3d75ba0684d5cbc5dad68fee3260bdc6978ce786fb3d2acabc92862f0,763,1083,1998,0.084716862,0.070148815,false,false,false,false
20,page-020.png,203960,ff1ce8049f04478a16be81bc623143a6cfd42c5fae69fb92a7d7745bf862e402,763,1083,2344,0.096143304,0.079729744,false,false,false,false
21,page-021.png,178666,0d8463412e2ea739262bb1dfe3147e19c214deb63ff8a6c1525b6edb65b99957,763,1083,1946,0.08251435,0.068257316,false,false,false,false
22,page-022.png,155693,665f6c7644dfe069bd2c26072ff6c82a5d98a72b631930721e645a6ddcb5b66b,763,1083,1731,0.070240788,0.057828056,false,false,false,false
23,page-023.png,175266,818af235237c60458174e547951fe60ef204249652a320401a23fc603aae535f,763,1083,1893,0.08061196,0.067231091,false,false,false,false
24,page-024.png,150619,a03e3707449323420578ae2aa7266b7c288be8390608a8072b0301b135f932e8,763,1083,1491,0.06426375,0.053389146,false,false,false,false
25,page-025.png,172374,6f3b05d7ae6ba0740516a9f3acc587b58e640fb98028f7345e4faab9400ac571,763,1083,1825,0.073739394,0.060794187,false,false,false,false
26,page-026.png,164651,125c0351388d49cf3ad1e66af01247d43cc2137879d7dad2b849e29186428b11,763,1083,1567,0.065484813,0.054070473,false,false,false,false
27,page-027.png,197855,407252734770e1278b9cd0f32d0bc828f96ac6eed3fc9d8ac6ab97ac3d455c4b,763,1083,2008,0.083866111,0.06891807,false,false,false,false
28,page-028.png,212871,cd6abc62c5d9f73ea23850852474a3c178780ea50d5ed3f6dd4a0a299eb9f2bb,763,1083,2219,0.090082764,0.074620399,false,false,false,false
29,page-029.png,137218,4831dcbe685458d11177a509ba11e200988cf536320842fd71886c4113672bcb,763,1083,1306,0.0551088,0.045864299,false,false,false,false
30,page-030.png,90599,8eda3bc6f92e017f47cbbdef17aec5bc0026eef9dd1c0941feab8f577053063e,763,1083,724,0.032391457,0.026592314,false,false,false,false
31,page-031.png,144053,95f0c91c2a58e1186893ddf39edde384d069ff05c61dce260a14f11f55625ab5,763,1083,1416,0.061211697,0.051262875,false,false,false,false
32,page-032.png,149604,02bb45535cadfcbcc953b517cb20e1096e346da533bb86a75b94d34c2b486a98,763,1083,1506,0.060467441,0.049802197,false,false,false,false
33,page-033.png,118819,02ab7a1740612c93223bafdbb19508fd5ba68dba6074aad1a97df3b923dfa3c3,763,1083,1087,0.048168466,0.040512919,false,false,false,false
34,page-034.png,60989,3624a08d720726f5514b7b33e076622df49acf57a97b50336e7a9860f34ae168,763,1083,647,0.025811753,0.021435772,false,false,false,false
35,page-035.png,7541,0a10b709f6e921179fcd479335e3b6c57533c873f9d63ec1b14367415bd192d5,763,1083,8,0.002689002,0.002548622,false,false,false,false
36,page-036.png,4006,1ae1c0b5c9050f49e9aae499e232840fd226372dff1fa18e92c768791eecb7be,763,1083,0,0.0,0.0,true,false,false,false
37,page-037.png,111006,eba722f3af8024fd35ccc0d85b940fcca6b0074a27d7a19f98ee9644858d093d,763,1083,1117,0.162964146,0.094957335,false,false,false,false
38,page-038.png,188356,1905ddd2a2a0286547debbeac6d5be8e83cd906caaddb2c7b191b3ff966a0b9a,763,1083,2113,0.084294512,0.069489271,false,false,false,false
39,page-039.png,157571,be5658e6edccb0f12fe7d15fec2077f06d6511888f8ee563d9470442b45fd110,763,1083,1519,0.066691354,0.054881288,false,false,false,false
40,page-040.png,199794,28d2badef00768125696f5df07cef73354f39f4a1ceaecad40a3a16ff7c4228b,763,1083,2060,0.084479669,0.069719204,false,false,false,false
41,page-041.png,150220,59ab6a0a071e560900e354843bf7673337e6e5aed86c8f7682caeb0a205ea580,763,1083,1422,0.059567073,0.049235837,false,false,false,false
42,page-042.png,169231,5ad3a722b146df9dc8a22ceffcc7d25d2d4efe560fa40f6041b1c6205c996d9a,763,1083,1712,0.071857577,0.059706243,false,false,false,false
43,page-043.png,168869,ca510e46054544d7fe41ee22b882f989cca153f92e02bfcc12ae24c085643d22,763,1083,1578,0.071909615,0.06024961,false,false,false,false
44,page-044.png,146702,a0235d2ce136c91cd8ea83c0b185df2b159314482756cbe28c8be8e4b8c5311b,763,1083,1351,0.058474288,0.048406869,false,false,false,false
45,page-045.png,164569,8dd7571bd25a0526fdefff89c8641d10b1ce75aff6dabbe6ac49cc091e07f649,763,1083,1599,0.066778487,0.055297587,false,false,false,false
46,page-046.png,163070,4db218998c0dd763dc83ec93f5a85405650b8eb2717c7babfcd2214224af58c3,763,1083,1531,0.069265389,0.058060409,false,false,false,false
47,page-047.png,146983,cf9be88855c2cf0e9c719ef22734232d573f58ea3fac33b97b390c1813899358,763,1083,1365,0.055502106,0.045938119,false,false,false,false
48,page-048.png,187784,81c145cb64d0efb20c5433b95ce447763da7329c1c0eb5b5fc623aa4c2dc4095,763,1083,1763,0.073910029,0.060981764,false,false,false,false
49,page-049.png,138507,abdb7339a59ef16f344f8de546c1bfc120bd7b5ef8352234ba6ded1404055650,763,1083,1409,0.056478715,0.046431869,false,false,false,false
50,page-050.png,122415,3dca7f0611c2d44dc7c01ce08082cd17ba5b860015447a71ae8dade54b095dc2,763,1083,1102,0.045385071,0.03720673,false,false,false,false
51,page-051.png,128413,5c6210b9c15dc68869cd09dced6935c6564c86c14f0f3318c63abf2e71ef768c,763,1083,1212,0.049695702,0.040821513,false,false,false,false
52,page-052.png,149887,8186ce912474616d9f8cd37effc85ee32e86346cd2de5bb7821de4e17ce84799,763,1083,1358,0.056804251,0.046977657,false,false,false,false
